nFrame,nS,nI,nZ,nT,nV,pZ,pI
537,5,0,4,20,5907,0.1,0.2
538,5,0,4,20,5918,0.1,0.2
539,5,0,4,20,5929,0.1,0.2
540,5,0,4,20,5940,0.1,0.2
541,5,0,4,20,5951,0.1,0.2
542,5,0,4,20,5962,0.1,0.2
543,5,0,4,20,5973,0.1,0.2
544,5,0,4,20,5984,0.1,0.2
545,5,0,4,20,5995,0.1,0.2
546,5,0,4,20,6006,0.1,0.2
547,5,0,4,20,6017,0.1,0.2
548,5,0,4,20,6028,0.1,0.2
549,5,0,4,20,6039,0.1,0.2
550,5,0,4,20,6050,0.1,0.2
551,5,0,4,20,6061,0.1,0.2
552,5,0,4,20,6072,0.1,0.2
553,5,0,4,20,6083,0.1,0.2
554,5,0,4,20,6094,0.1,0.2
555,5,0,4,20,6105,0.1,0.2
556,5,0,4,20,6116,0.1,0.2
557,5,0,4,20,6127,0.1,0.2
558,5,0,4,20,6138,0.1,0.2
559,5,0,4,20,6149,0.1,0.2
560,5,0,4,20,6160,0.1,0.2
561,5,0,4,20,6171,0.1,0.2
562,5,0,4,20,6182,0.1,0.2
563,5,0,4,20,6193,0.1,0.2
564,5,0,4,20,6204,0.1,0.2
565,5,0,4,20,6215,0.1,0.2
566,5,0,4,20,6226,0.1,0.2
567,5,0,4,20,6237,0.1,0.2
568,5,0,4,20,6248,0.1,0.2
569,5,0,4,20,6259,0.1,0.2
570,5,0,4,20,6270,0.1,0.2
571,5,0,4,20,6281,0.1,0.2
572,5,0,4,20,6292,0.1,0.2
573,5,0,4,20,6303,0.1,0.2
574,5,0,4,20,6314,0.1,0.2
575,5,0,4,20,6325,0.1,0.2
576,5,0,4,20,6336,0.1,0.2
577,5,0,4,20,6347,0.1,0.2
578,5,0,4,20,6358,0.1,0.2
579,5,0,4,20,6369,0.1,0.2
580,5,0,4,20,6380,0.1,0.2
581,5,0,4,20,6391,0.1,0.2
582,5,0,4,20,6402,0.1,0.2
583,5,0,4,20,6413,0.1,0.2
584,5,0,4,20,6424,0.1,0.2
585,5,0,4,20,6435,0.1,0.2
586,5,0,4,20,6446,0.1,0.2
587,5,0,4,20,6457,0.1,0.2
588,5,0,4,20,6468,0.1,0.2
589,5,0,4,20,6479,0.1,0.2
590,5,0,4,20,6490,0.1,0.2
591,5,0,4,20,6501,0.1,0.2
592,5,0,4,20,6512,0.1,0.2
593,5,0,4,20,6523,0.1,0.2
594,5,0,4,20,6534,0.1,0.2
595,5,0,4,20,6545,0.1,0.2
596,5,0,4,20,6556,0.1,0.2
597,5,0,4,20,6567,0.1,0.2
598,5,0,4,20,6578,0.1,0.2
599,5,0,4,20,6589,0.1,0.2
600,5,0,4,20,6600,0.1,0.2
601,5,0,4,20,6611,0.1,0.2
602,5,0,4,20,6622,0.1,0.2
603,5,0,4,20,6633,0.1,0.2
604,5,0,4,20,6644,0.1,0.2
605,5,0,4,20,6655,0.1,0.2
606,5,0,4,20,6666,0.1,0.2
607,5,0,4,20,6677,0.1,0.2
608,5,0,4,20,6688,0.1,0.2
609,5,0,4,20,6699,0.1,0.2
610,5,0,4,20,6710,0.1,0.2
611,5,0,4,20,6721,0.1,0.2
612,5,0,4,20,6732,0.1,0.2
613,5,0,4,20,6743,0.1,0.2
614,5,0,4,20,6754,0.1,0.2
615,5,0,4,20,6765,0.1,0.2
616,5,0,4,20,6776,0.1,0.2
617,5,0,4,20,6787,0.1,0.2
618,5,0,4,20,6798,0.1,0.2
619,5,0,4,20,6809,0.1,0.2
620,5,0,4,20,6820,0.1,0.2
621,5,0,4,20,6831,0.1,0.2
622,5,0,4,20,6842,0.1,0.2
623,5,0,4,20,6853,0.1,0.2
624,5,0,4,20,6864,0.1,0.2
625,5,0,4,20,6875,0.1,0.2
626,5,0,4,20,6886,0.1,0.2
627,5,0,4,20,6897,0.1,0.2
628,5,0,4,20,6908,0.1,0.2
629,5,0,4,20,6919,0.1,0.2
630,5,0,4,20,6930,0.1,0.2
631,5,0,4,20,6941,0.1,0.2
632,5,0,4,20,6952,0.1,0.2
633,5,0,4,20,6963,0.1,0.2
634,5,0,4,20,6974,0.1,0.2
635,5,0,4,20,6985,0.1,0.2
636,5,0,4,20,6996,0.1,0.2
637,5,0,4,20,7007,0.1,0.2
638,5,0,4,20,7018,0.1,0.2
639,5,0,4,20,7029,0.1,0.2
640,5,0,4,20,7040,0.1,0.2
641,5,0,4,20,7051,0.1,0.2
642,5,0,4,20,7062,0.1,0.2
643,5,0,4,20,7073,0.1,0.2
644,5,0,4,20,7084,0.1,0.2
645,5,0,4,20,7095,0.1,0.2
646,5,0,4,20,7106,0.1,0.2
647,5,0,4,20,7117,0.1,0.2
648,5,0,4,20,7128,0.1,0.2
649,5,0,4,20,7139,0.1,0.2
650,5,0,4,20,7150,0.1,0.2
651,5,0,4,20,7161,0.1,0.2
652,5,0,4,20,7172,0.1,0.2
653,5,0,4,20,7183,0.1,0.2
654,5,0,4,20,7194,0.1,0.2
655,5,0,4,20,7205,0.1,0.2
656,5,0,4,20,7216,0.1,0.2
657,5,0,4,20,7227,0.1,0.2
658,5,0,4,20,7238,0.1,0.2
659,5,0,4,20,7249,0.1,0.2
660,5,0,4,20,7260,0.1,0.2
661,5,0,4,20,7271,0.1,0.2
662,5,0,4,20,7282,0.1,0.2
663,5,0,4,20,7293,0.1,0.2
664,5,0,4,20,7304,0.1,0.2
665,5,0,4,20,7315,0.1,0.2
